code_scheme,area_code,area_level,area_name,parent_scheme,parent_code,census_2011_code,snapshot_date,source_url,latitude,longitude,point_method,bbox_west,bbox_south,bbox_east,bbox_north,geometry_source,boundary_vintage
ISO-3166-1,IN,Country,India,,,,02Sep2026,static,23.382088,79.485000,aggregate:State,68.177512,6.752783,97.412897,37.088342,SOI_States,2023-12-11
LGD,35,State,Andaman And Nicobar Islands,ISO-3166-1,IN,35,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,12.603196,92.829514,centroid,92.195893,6.752783,94.267398,13.677059,SOI_States,2023-12-11
LGD,28,State,Andhra Pradesh,ISO-3166-1,IN,28,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,15.753511,79.962484,centroid,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11
LGD,12,State,Arunachal Pradesh,ISO-3166-1,IN,12,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,28.035268,94.673960,centroid,91.553545,26.650823,97.412897,29.465947,SOI_States,2023-12-11
LGD,18,State,Assam,ISO-3166-1,IN,18,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,26.355278,92.827110,centroid,89.698600,24.136135,96.017876,27.971475,SOI_States,2023-12-11
LGD,10,State,Bihar,ISO-3166-1,IN,10,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,25.678945,85.609012,centroid,83.320216,24.286006,88.293796,27.521777,SOI_States,2023-12-11
LGD,4,State,Chandigarh,ISO-3166-1,IN,4,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,30.729350,76.780565,centroid,76.705183,30.666359,76.849445,30.795209,SOI_States,2023-12-11
LGD,22,State,Chhattisgarh,ISO-3166-1,IN,22,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,21.265915,82.041059,centroid,80.244428,17.782307,84.395550,24.106277,SOI_States,2023-12-11
LGD,7,State,Delhi,ISO-3166-1,IN,7,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,28.643370,77.115437,centroid,76.838892,28.404668,77.347571,28.883500,SOI_States,2023-12-11
LGD,30,State,Goa,ISO-3166-1,IN,30,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,15.365280,74.049474,centroid,73.676952,14.898440,74.336437,15.801017,SOI_States,2023-12-11
LGD,24,State,Gujarat,ISO-3166-1,IN,24,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,22.692625,71.595166,centroid,68.177512,20.119229,74.476433,24.712536,SOI_States,2023-12-11
LGD,6,State,Haryana,ISO-3166-1,IN,6,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,29.197675,76.340342,centroid,74.473259,27.652271,77.604591,30.928543,SOI_States,2023-12-11
LGD,2,State,Himachal Pradesh,ISO-3166-1,IN,2,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,31.925300,77.248411,centroid,75.594593,30.377336,79.008917,33.256426,SOI_States,2023-12-11
LGD,1,State,Jammu And Kashmir,ISO-3166-1,IN,1,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,33.675618,74.859285,centroid,73.396060,32.276005,76.779413,35.130068,SOI_States,2023-12-11
LGD,20,State,Jharkhand,ISO-3166-1,IN,20,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,23.656374,85.564266,centroid,83.329346,21.970129,87.962825,25.349181,SOI_States,2023-12-11
LGD,29,State,Karnataka,ISO-3166-1,IN,29,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,14.710573,76.167282,centroid,74.053993,11.594471,78.587702,18.477721,SOI_States,2023-12-11
LGD,32,State,Kerala,ISO-3166-1,IN,32,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,10.452100,76.407182,centroid,74.864337,8.293018,77.412396,12.795535,SOI_States,2023-12-11
LGD,37,State,Ladakh,ISO-3166-1,IN,0,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,34.948731,76.794070,centroid,72.512762,32.335694,80.345084,37.088342,SOI_States,2023-12-11
LGD,31,State,Lakshadweep,ISO-3166-1,IN,31,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,10.812627,73.677058,centroid,72.164028,8.265203,73.700919,11.704976,SOI_States,2023-12-11
LGD,23,State,Madhya Pradesh,ISO-3166-1,IN,23,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,23.538142,78.289776,centroid,74.029382,21.070688,82.812612,26.869562,SOI_States,2023-12-11
LGD,27,State,Maharashtra,ISO-3166-1,IN,27,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,19.451683,76.107454,centroid,72.641991,15.606085,80.897684,22.030269,SOI_States,2023-12-11
LGD,14,State,Manipur,ISO-3166-1,IN,14,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,24.733858,93.878817,centroid,92.969434,23.832848,94.744890,25.692090,SOI_States,2023-12-11
LGD,17,State,Meghalaya,ISO-3166-1,IN,17,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,25.535419,91.278401,centroid,89.819545,25.027795,92.802915,26.119406,SOI_States,2023-12-11
LGD,15,State,Mizoram,ISO-3166-1,IN,15,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,23.306959,92.831811,centroid,92.257065,21.940040,93.436906,24.521150,SOI_States,2023-12-11
LGD,13,State,Nagaland,ISO-3166-1,IN,13,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,26.062153,94.466308,centroid,93.326687,25.198356,95.241350,27.035207,SOI_States,2023-12-11
LGD,21,State,Odisha,ISO-3166-1,IN,21,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,20.511652,84.426842,centroid,81.388378,17.812450,87.486135,22.567507,SOI_States,2023-12-11
LGD,34,State,Puducherry,ISO-3166-1,IN,34,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,10.933465,79.802983,centroid,75.526556,10.827383,82.310616,16.763695,SOI_States,2023-12-11
LGD,3,State,Punjab,ISO-3166-1,IN,3,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,30.842128,75.415888,centroid,73.879776,29.542070,76.941462,32.511563,SOI_States,2023-12-11
LGD,8,State,Rajasthan,ISO-3166-1,IN,8,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,26.584176,73.849855,centroid,69.484426,23.058661,78.272257,30.198148,SOI_States,2023-12-11
LGD,11,State,Sikkim,ISO-3166-1,IN,11,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,27.570188,88.473019,centroid,88.012332,27.079260,88.919260,28.128691,SOI_States,2023-12-11
LGD,33,State,Tamil Nadu,ISO-3166-1,IN,33,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,11.015873,78.407996,centroid,76.232983,8.077704,80.346547,13.564628,SOI_States,2023-12-11
LGD,36,State,Telangana,ISO-3166-1,IN,0,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.02Sep2026.csv.7z,17.800653,79.009116,centroid,77.235761,15.836003,81.322641,19.916807,SOI_States,2023-12-11
